,Topic,ID,FunctionValue,Label
1378,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""countryAbbreviation"":""A"",""street"":""An Der Fernpaßbundesstraße 1"",""city"":""Nassereith"",""zipCode"":""6465"",""poiName"":""IONITY da emobil Alpen Raststation Heiterwang I (350kW)"",""country"":""Österreich"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""IONITY da emobil Alpen Raststation Heiterwang I (350kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
518,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""<span class=\""text-highlight\"">Tilsiter</span> Straße"",""city"":""Sindelfingen"",""zipCode"":""71065"",""country"":""Deutschland}}",navi/Start/Address
1364,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""countryAbbreviation"":""D"",""street"":""A7 Raststätte Allgäuer Tor Ost"",""city"":""Dietmannsried"",""zipCode"":""87463"",""poiName"":""EnBW A7 Autobahnraststätte Allgäuer Tor Ost (300kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""EnBW A7 Autobahnraststätte Allgäuer Tor Ost (300kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
1317,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': [], 'uri': 'rudi:/navi$/locations/5a413d14-4036-486e-95ab-3db8da60ac71', 'state': 'Baden-Württemberg', 'id': '5a413d14-4036-486e-95ab-3db8da60ac71', 'street': 'Zur Engener Höhe', 'name': '', 'city': 'Engen', 'coordinates': {'latitude': 571035830.0, 'latitudeDegree': 47.86367, 'longitude': 104802691.0, 'longitudeDegree': 8.7844}}",navi/Start/Address
1315,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': [], 'uri': 'rudi:/navi$/locations/61df3524-8eb9-4c3a-a6ba-419af11a94a9', 'state': 'Baden-Württemberg', 'id': '61df3524-8eb9-4c3a-a6ba-419af11a94a9', 'street': 'Zur Engener Höhe', 'name': '', 'city': 'Engen', 'coordinates': {'latitude': 571035830.0, 'latitudeDegree': 47.86367, 'longitude': 104802691.0, 'longitudeDegree': 8.7844}}",navi/Start/Address
1306,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Marbach 1, Öhningen",navi/Start/Address
1110,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Holzstraße 21, Stuttgart",navi/Start/Address
1203,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Sigmaringer Str. 4, Stuttgart",navi/Start/Address
949,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Sigmaringer Str."",""housenumber"":""<span class=\""text-highlight\"">4</span>"",""city"":""Stuttgart"",""zipCode"":""70567"",""poiName"":""Sigmaringer Str. <span class=\""text-highlight\"">4</span>"",""country"":""Deutschland}}",navi/Start/Address
836,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Pleutersbacher Straße 30, Eberbach",navi/Start/Address
729,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': ['POICATEGORY_CHARGINGSTATION'], 'uri': 'rudi:/navi$/locations/fcb5f641-26ed-4317-a32b-26e4b9220afd', 'state': 'Baden-Württemberg', 'id': 'fcb5f641-26ed-4317-a32b-26e4b9220afd', 'countryAbbreviation': 'D', 'iconUri': 'http://127.0.0.1:7780/navi/poiicon?id=poi%3A%2F8727494836%3Fwidth%3D0%26height%3D0%26category_id%3D14804', 'street': 'Wolfartsweierer Straße', 'stateAbbreviation': 'BW', 'name': '', 'poiId': '9015816471487', 'city': 'Karlsruhe', 'coordinates': {'latitude': 584587319.0, 'latitudeDegree': 48.999542, 'longitude': 100552241.0, 'longitudeDegree': 8.42819}}",navi/Start/Address
1140,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Varta Platz 1, Ellwangen (Jagst)",navi/Start/Address
1149,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': [], 'uri': 'rudi:/navi$/locations/de8b4e5b-b134-47ba-8ff7-894d03904d65', 'state': 'Baden-Württemberg', 'id': 'de8b4e5b-b134-47ba-8ff7-894d03904d65', 'countryAbbreviation': 'D', 'street': 'Urbanstaffel', 'stateAbbreviation': 'BW', 'name': '', 'city': 'Bietigheim-Bissingen', 'coordinates': {'latitude': 584155101.0, 'latitudeDegree': 48.963314, 'longitude': 108914233.0, 'longitudeDegree': 9.12908}}",navi/Start/Address
1150,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""<span class=\""text-highlight\"">Wunnenstein</span> West"",""housenumber"":""1"",""city"":""Ilsfeld"",""zipCode"":""74360"",""poiName"":""<span class=\""text-highlight\"">IONITY</span> A81 Autobahnraststätte <span class=\""text-highlight\"">Wunnenstein</span> West (350kW)"",""country"":""Deutschland"",""poiCategoryName"":""Porsche Turbo Charging"",""poiCategory"":""Porsche Turbo Charging"",""poiNameCategory"":""<span class=\""text-highlight\"">IONITY</span> A81 Autobahnraststätte <span class=\""text-highlight\"">Wunnenstein</span> West (350kW) (Porsche Turbo Charging)}}",navi/Start/Address
