;label;id;fnvalue
50;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Kremmlerstraße"",""housenumber"":""5"",""city"":""Stuttgart"",""zipCode"":""70597"",""poiName"":""Dr. Joachim <span class=\""text-highlight\"">Hil&#8205</span>ler's Praxis für Zahnheilkunde"""",""""country"""":""""Deutschland}}"""
51;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/c63c0a92-d368-4db6-afb7-f87a27f0ef87', 'state': 'Baden-Württemberg', 'id': 'c63c0a92-d368-4db6-afb7-f87a27f0ef87', 'countryAbbreviation': 'D', 'street': 'Ginsterweg', 'stateAbbreviation': 'BW', 'name': '', 'city': 'Stuttgart', 'coordinates': {'latitude': 581872221.0, 'latitudeDegree': 48.771965, 'longitude': 109852793.0, 'longitudeDegree': 9.20775}}
52;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/c1d8d133-847f-403b-890f-c4a3bab90fe7', 'state': 'Baden-Württemberg', 'id': 'c1d8d133-847f-403b-890f-c4a3bab90fe7', 'street': 'Im Steinbergle', 'name': '', 'city': 'Leonberg', 'coordinates': {'latitude': 582244625.0, 'latitudeDegree': 48.80318, 'longitude': 107721364.0, 'longitudeDegree': 9.029}}
53;navi/Start/Address';/navi/onDestinationSelect';Kremmlerstraße 5, Stuttgart
54;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/b2c7117b-2e07-4140-8e41-0488fd38f762', 'state': 'Baden-Württemberg', 'id': 'b2c7117b-2e07-4140-8e41-0488fd38f762', 'street': 'Im Steinbergle', 'name': '', 'city': 'Leonberg', 'coordinates': {'latitude': 582244625.0, 'latitudeDegree': 48.80318, 'longitude': 107721364.0, 'longitudeDegree': 9.029}}
55;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Daimlerstraße"",""housenumber"":""6"",""city"":""Leonberg"",""zipCode"":""71229"",""poiName"":""Bosch Daimlerstraße 6 Leonberg (22kW)"",""poiCategoryName"":""AC Laden"",""poiCategory"":""AC Laden"",""poiNameCategory"":""Bosch Daimlerstraße 6 Leonberg (22kW) (AC Laden)}}"
56;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Eltinger Str."",""housenumber"":""61"",""city"":""<span class=\""text-highlight\"">Leonberg</span>"",""zipCode"":""71229"",""poiName"":""<span class=\""text-highlight\"">Thai&#8205</span>2000 Imbiss"""",""""country"""":""""Deutschland}}"""
57;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Römerstraße"",""housenumber"":""34"",""city"":""Leonberg"",""zipCode"":""71229"",""poiName"":""Lidl ChargePoint Römerstraße (50kW)"",""poiCategoryName"":""DC Laden"",""poiCategory"":""DC Laden"",""poiNameCategory"":""Lidl ChargePoint Römerstraße (50kW) (DC Laden)}}"
58;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/0c5d3dfe-ff45-4442-9c51-4b1b727546b4', 'state': 'Baden-Württemberg', 'id': '0c5d3dfe-ff45-4442-9c51-4b1b727546b4', 'street': 'Porschestraße', 'name': '', 'city': 'Stuttgart', 'coordinates': {'latitude': 582651221.0, 'latitudeDegree': 48.83726, 'longitude': 109245474.0, 'longitudeDegree': 9.1568}}
59;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/a75cdff3-a036-4794-88ab-cd59a39c9754', 'state': 'Baden-Württemberg', 'id': 'a75cdff3-a036-4794-88ab-cd59a39c9754', 'street': 'Im Steinbergle', 'name': '', 'city': 'Leonberg', 'coordinates': {'latitude': 582244625.0, 'latitudeDegree': 48.80318, 'longitude': 107721364.0, 'longitudeDegree': 9.029}}
60;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Im Neuenbühl"",""housenumber"":""15"",""city"":""Weissach"",""zipCode"":""71287"",""poiName"":""<span class=\""text-highlight\"">Da</span> <span class=\""text-highlight\"">Vale</span> - Ristorante & Pizzeria"",""country"":""Deutschland}}"
61;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/f58a9c13-b8b1-4e1e-8928-a1b73a3c70a1', 'state': 'Baden-Württemberg', 'id': 'f58a9c13-b8b1-4e1e-8928-a1b73a3c70a1', 'street': 'Im Steinbergle', 'name': '', 'city': 'Leonberg', 'coordinates': {'latitude': 582244625.0, 'latitudeDegree': 48.80318, 'longitude': 107721364.0, 'longitudeDegree': 9.029}}
62;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/fe1838de-91e8-4049-b1c6-dd6bdcd40082', 'state': 'Baden-Württemberg', 'id': 'fe1838de-91e8-4049-b1c6-dd6bdcd40082', 'street': 'Im Steinbergle', 'name': '', 'city': 'Leonberg', 'coordinates': {'latitude': 582244625.0, 'latitudeDegree': 48.80318, 'longitude': 107721364.0, 'longitudeDegree': 9.029}}
63;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Loyernstraße"",""housenumber"":""4"",""city"":""<span class=\""text-highlight\"">Rutesh&#8205</span>eim"""",""""zipCode"""":""""71277"""",""""poiName"""":""""<span class=\""""text-highlight\"""">Holzwerk</span> <span class=\""""text-highlight\"""">Rutesh&#8205</span>eim GmbH"""",""""country"""":""""Deutschland}}"""
64;navi/Start/Address';/navi/onDestinationSelect';Loyernstraße 4, Rutesheim
65;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""<span class=\""text-highlight\"">Hopfenburg</span>"",""housenumber"":""12"",""city"":""Münsingen"",""zipCode"":""72525"",""poiName"":""<span class=\""text-highlight\"">Hofgut</span> <span class=\""text-highlight\"">Hopfenburg</span>"",""country"":""Deutschland}}"
66;navi/Start/Address';/navi/onDestinationSelect';Hopfenburg 12, Münsingen
67;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""city"":""Sonnenbühl"",""zipCode"":""72820"",""poiName"":""<span class=\""text-highlight\"">Trauml&#8205</span>and auf der Bärenhöhle"""",""""country"""":""""Deutschland}}"""
68;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""city"":""<span class=\""text-highlight\"">Ulm</span>"",""zipCode"":""89073"",""country"":""Deutschland}}"
69;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""city"":""Römerstein"",""zipCode"":""72587"",""cityPart"":""<span class=\""text-highlight\"">Donnst&#8205</span>etten"""",""""country"""":""""Deutschland}}"""
70;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/9dafc42f-1363-46fd-8f07-4586119db357', 'state': 'Baden-Württemberg', 'id': '9dafc42f-1363-46fd-8f07-4586119db357', 'countryAbbreviation': 'D', 'stateAbbreviation': 'BW', 'name': '', 'city': 'Römerstein', 'coordinates': {'latitude': 578795126.0, 'latitudeDegree': 48.514046, 'longitude': 114092458.0, 'longitudeDegree': 9.56311}}
71;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Böhringer Str."",""housenumber"":""18"",""city"":""Römerstein"",""zipCode"":""72587"",""poiName"":""Bobbahn Donnstetten"",""country"":""Deutschland}}"
72;navi/Start/Address';/navi/onDestinationSelect';{'poiType': ['POICATEGORY_CHARGINGSTATIONFAST'], 'uri': 'rudi:/navi$/locations/2385874e-c33c-4149-926a-f30e37a90776', 'id': '2385874e-c33c-4149-926a-f30e37a90776', 'providerId': 'Porsche', 'countryAbbreviation': 'D', 'street': 'Im Greuth 16', 'name': '', 'poiId': '7c588244-2c6e-4d63-8a6e-f5d3e80680f2', 'city': 'Bad Urach', 'coordinates': {'latitude': 578531164.0, 'latitudeDegree': 48.49192, 'longitude': 112159258.0, 'longitudeDegree': 9.401}}
73;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Von-der-Osten-Straße"",""city"":""Münsingen"",""zipCode"":""72525"",""poiName"":""<span class=\""text-highlight\"">Bios&#8205</span>phärenzentrum Schwäbische Alb"""",""""country"""":""""Deutschland"""",""""poiCategoryName"""":""""Museum"""",""""poiCategory"""":""""Museum"""",""""poiNameCategory"""":""""<span class=\""""text-highlight\"""">Bios&#8205</span>phärenzentrum Schwäbische Alb (Museum)}}"""
74;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""<span class=\""text-highlight\"">Hasenbergsteige</span>"",""housenumber"":""3"",""city"":""Stuttgart"",""zipCode"":""70178"",""cityPart"":""West"",""poiName"":""EnBW <span class=\""text-highlight\"">Hasenbergsteige</span> (22kW)"",""country"":""Deutschland"",""poiCategoryName"":""EnBW"",""poiCategory"":""EnBW"",""poiNameCategory"":""EnBW <span class=\""text-highlight\"">Hasenbergsteige</span> (22kW) (EnBW)}}"
75;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Sparrhärmlingweg"",""housenumber"":""<span class=\""text-highlight\"">70</span>"",""city"":""Stuttgart"",""zipCode"":""<span class=\""text-highlight\"">70&#8205</span>376"""",""""poiName"""":""""Sparrhärmlingweg <span class=\""""text-highlight\"""">70</span>"""",""""country"""":""""Deutschland}}"""
76;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/f12f02b1-6572-467b-ba82-bc7a36600264', 'state': 'Baden-Württemberg', 'id': 'f12f02b1-6572-467b-ba82-bc7a36600264', 'street': 'Im Steinbergle', 'name': '', 'city': 'Leonberg', 'coordinates': {'latitude': 582244625.0, 'latitudeDegree': 48.80318, 'longitude': 107721364.0, 'longitudeDegree': 9.029}}
77;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/87cb38d2-8677-4233-96ff-00b68039d5ac', 'state': 'Baden-Württemberg', 'id': '87cb38d2-8677-4233-96ff-00b68039d5ac', 'street': 'Im Steinbergle', 'name': '', 'city': 'Leonberg', 'coordinates': {'latitude': 582244625.0, 'latitudeDegree': 48.80318, 'longitude': 107721364.0, 'longitudeDegree': 9.029}}
78;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""<span class=\""text-highlight\"">Im</span> <span class=\""text-highlight\"">Buchwald</span>"",""city"":""<span class=\""text-highlight\"">Stutt&#8205</span>gart"""",""""zipCode"""":""""70186"""",""""cityPart"""":""""Ost"""",""""country"""":""""Deutschland}}"""
79;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/c1bb0646-f375-4f41-96e8-98d850c5a454', 'state': 'Baden-Württemberg', 'id': 'c1bb0646-f375-4f41-96e8-98d850c5a454', 'countryAbbreviation': 'D', 'street': 'Im Buchwald', 'stateAbbreviation': 'BW', 'name': '', 'city': 'Stuttgart', 'coordinates': {'latitude': 581871389.0, 'latitudeDegree': 48.771896, 'longitude': 109889337.0, 'longitudeDegree': 9.21081}}
80;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Hirschsprungallee"",""housenumber"":""12"",""city"":""Stuttgart"",""zipCode"":""70435"",""poiName"":""<span class=\""text-highlight\"">Bädle</span> SSV <span class=\""text-highlight\"">Zuffenhausen</span> e.V."",""country"":""Deutschland}}"
81;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""city"":""Tiefenbronn"",""zipCode"":""75233"",""poiName"":""Tiefenbronn"",""country"":""Deutschland}}"
82;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Kremmlerstraße"",""housenumber"":""5"",""city"":""<span class=\""text-highlight\"">Stutt&#8205</span>gart"""",""""zipCode"""":""""70597"""",""""poiName"""":""""Dr. Joachim <span class=\""""text-highlight\"""">Hiller&#8205</span>'s Praxis für Zahnheilkunde"""",""""country"""":""""Deutschland}}"""
83;navi/Start/Address';/navi/onDestinationSelect';Hirschsprungallee 12, Stuttgart
